Sample_ID,Valid_Length,RMSD_Angstroms,Full_dRMSD,Helix_dRMSD,Sheet_dRMSD,GDT_TS,TM_Score,Q3_Accuracy,Top-L/2_Prec
20042,200,23.9127,14.3980,0.4143,0.3782,0.0263,0.1172,0.4800,0.0200
20043,196,21.6322,13.0762,nan,nan,0.0140,0.1215,0.2908,0.0510
20044,141,21.4441,11.0872,nan,nan,0.0230,0.0947,0.0213,0.0000
20045,196,25.7719,11.9934,0.4165,0.2556,0.0089,0.0794,0.5918,0.0204
20046,131,19.9134,13.7502,2.0236,nan,0.0076,0.0626,0.4122,0.0000
20047,194,28.0943,18.9044,0.5004,0.3140,0.0090,0.0639,0.5155,0.0309
20048,116,9.7658,5.8590,nan,0.7724,0.1336,0.2106,0.0948,0.0517
20049,190,23.3921,16.7823,0.3622,0.3077,0.0026,0.0699,0.4263,0.0526
20050,181,22.6119,11.4163,0.9344,0.2243,0.0594,0.1604,0.1823,0.0556
20051,200,19.7262,9.4019,0.3675,0.2847,0.0200,0.1321,0.6500,0.0300
20052,51,11.3818,6.0649,nan,nan,0.1127,0.1000,0.0000,0.0400
20053,196,20.0592,17.2429,0.3959,0.3847,0.0370,0.1333,0.6990,0.1837
20054,200,18.7799,9.1954,0.3203,0.2072,0.0250,0.1396,0.6250,0.0200
20055,200,17.2042,9.7383,0.3283,0.2890,0.0375,0.1678,0.5200,0.0400
20056,23,5.3263,3.1274,0.1666,nan,0.3587,0.0353,0.5217,nan
20057,200,22.8953,11.4836,0.3950,0.5655,0.0225,0.1139,0.6750,0.0500
20058,200,17.3937,10.0140,0.2169,nan,0.0275,0.1420,0.5850,0.0100
20059,200,18.9124,9.5901,0.3816,0.3866,0.0263,0.1548,0.7000,0.0000
20060,172,20.3460,12.2975,0.6994,0.4384,0.0320,0.1258,0.3314,0.0116
20061,200,41.0487,37.0943,nan,0.6146,0.0000,0.0289,0.6450,0.0000
20062,200,20.1643,14.2857,0.3619,nan,0.0200,0.1315,0.7750,0.0300
20063,200,17.1596,8.5953,0.2313,0.5800,0.0638,0.1915,0.6750,0.0300
20064,196,18.3300,8.7771,0.3450,0.8342,0.0753,0.1964,0.6429,0.0918
20065,191,34.9866,26.7604,2.4088,1.6376,0.0013,0.0413,0.3613,0.0000
20066,182,19.4369,8.9088,0.5739,0.4534,0.0385,0.1388,0.4890,0.0330
20067,192,21.4011,11.2681,0.6044,0.6231,0.0234,0.1167,0.5260,0.0104
20068,195,36.2883,25.8154,0.4966,0.4714,0.0000,0.0458,0.6667,0.0000
20069,182,28.2829,20.7229,0.9636,0.5511,0.0014,0.0517,0.3571,0.1978
20070,182,24.2985,19.4619,0.6251,0.4223,0.0275,0.1004,0.3516,0.2308
20071,177,31.4454,18.7177,0.9164,1.2833,0.0297,0.1147,0.3785,0.0000
20072,179,18.1034,11.4839,0.6214,0.6818,0.0028,0.0984,0.4302,0.0787
20073,185,23.0688,14.3860,0.9438,0.7224,0.0081,0.0796,0.2108,0.0109
